IATA,ICAO,Airline,Call sign,Country/Region,Comments
EY,EFL,Eagle Air,FLYING EAGLE,Tanzania,defunct 2002
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates,
EZ,EIA,Evergreen International Airlines,EVERGREEN,United States,
EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark,
F2,FLM,Fly Air,FLY WORLD,Turkey,
F3,FSW,Faso Airways,FASO,Burkina Faso,
F4,NBK,Albarka Air,AL-AIR,Nigeria,
F5,COZ,Cosmic Air,COSMIC AIR,Nepal,
F6,RCK,FaroeJet,ROCKROSE,Faroe Islands,
F7,BBO,Flybaboo,BABOO,Switzerland,
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States,
FA,SFR,Safair,CARGO,South Africa,
FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria,
FC,WBA,Finncomm Airlines,WESTBIRD,Finland,
FD,,Royal Flying Doctor Service,FLYDOC,Australia,
FD,AIQ,Thai AirAsia,THAI ASIA,Thailand,
FE,FEA,Far Eastern Air Transport,Far Eastern,Taiwan,
FE,WCP,Primaris Airlines,WHITECAP,United States,
FF,,Airshop,,Netherlands,
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,
FH,FHY,Freebird Airlines,FREEBIRD AIR,Turkey,
FH,FUA,Futura International Airways,FUTURA,Spain,defunct
FI,ICE,Icelandair,ICEAIR,Iceland,
FJ,FJI,Fiji Airways,PACIFIC,Fiji,
FK,WTA,Africa West,WEST TOGO,Togo,
FK,KEW,Keewatin Air,BLIZZARD,Canada,
FL,LPA,Air Leap,LEAP,Sweden,[7]
FL,TRS,AirTran Airways,CITRUS,United States,"defunct, last flight 12/30/2014, now part of Southwest Airlines"
FM,CSH,Shanghai Airlines,SHANGHAI AIR,China,Part of China Eastern Airlines
FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco,
FO,ATM,Airlines of Tasmania,AIRTAS,Australia,
FO,FBZ,Flybondi,BONDI,Argentina,
FP,FRE,FlyPelican,PELICAN,Australia,Pelican Airlines Pty Ltd since 1 June 2015
FP,FRE,Freedom Air,FREEDOM,United States,Aviation Services
FP,AND,Servicios Aéreos de los Andes,SERVI ANDES,Peru,2014[43]
FR,RYR,Ryanair,RYANAIR,Ireland,
FS,ACL,Itali Airlines,SPADA,Italy,Former name: Transporti Aerei Italiani; former IATA Code: 9X*; former ICAO code: ACO
FS,STU,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina,ICAO and call sign not current
FT,FEG,FlyEgypt,SKY EGYPT,Egypt,Established in 2014
FT,SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia,
FV,PLK,Pulkovo Aviation Enterprise,PULKOVO,Russia,defunct merged into Rossiya (airline)
FV,SDM,Rossiya,RUSSIA,Russia,Airline merged with Pulkovo Aviation Enterprise and renamed to Rossiya
FW,IBX,Ibex Airlines,IBEX,Japan,
FX,FDX,FedEx Express,FEDEX,United States,
FY,FFM,Firefly,FIREFLY,Malaysia,
FY,NWR,Northwest Regional Airlines,,Australia,
FZ,FDB,Flydubai,SKYDUBAI,UAE,
G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana,
G1,,Gorkha Airlines,GORKHA AIRLINES,Nepal,?ICAO
G2,VXG,Avirex,AVIREX-GABON,Gabon,
G3,CIX,City Connexion Airlines,CONNEXION,Burundi,defunct
G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil,Brazilian low-cost airline.
G4,AAY,Allegiant Air,ALLEGIANT,United States,
G5,HXA,China Express Airlines,CHINA EXPRESS,China,
G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau,
G6,WLG,Air Volga,GOUMRAK,Russia,
G7,GNF,Gandalf Airlines,Gandalf,Italy,
G7,GJS,GoJet Airlines,LINDBERGH,United States,
G8,AGB,Air Service Gabon,,Gabon,defunct
G8,ENK,Enkor JSC,ENKOR,Russia,
G8,GOW,GoAir,GOAIR,India,
G8,GUJ,Gujarat Airways,GUJARATAIR,India,
G9,ABY,Air Arabia,ARABIA,United Arab Emirates,
GA,GIA,Garuda Indonesia,INDONESIA,Indonesia,
GB,ABX,Airborne Express,ABEX,United States,"August 14, 2003 merged into DHL"
GB,ABX,ABX Air,ABEX,United States,"August 15, 2003 Air operations of former Airborne Express"
GC,GNR,Gambia International Airlines,GAMBIA INTERNATIONAL,Gambia,
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,sold to Air Greenland
GE,TNA,TransAsia Airways,,Taiwan,defunct
GF,GFA,Gulf Air,GULF AIR,Bahrain,
GG,GUY,Air Guyane,GREEN BIRD,French Guiana,
GG,HAH,Air Comores International,AIR COMORES,Comoros,
GG,GGC,Cargo 360,LONG-HAUL,United States,
GG,KYE,Sky Lease Cargo,SKY CUBE,United States,https://en.wikipedia.org/wiki/Sky_Lease_Cargo
GH,GLP,Globus Airlines,GLOBUS,Russia,
GH,GHA,Ghana Airways,GHANA,Ghana,defunct
GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan,?ICAO confirmed; IATA not
GJ,MXC,Compania Mexicargo,MEXICARGO,Mexico,
GJ,CDC,CDI Cargo Airlines,HUALONG,China,
GJ,EEZ,Eurofly,E-FLY,Italy,
GK,,Go One Airways,,United Kingdom,Defunct?
GL,GRL,Air Greenland,GREENLAND,Denmark,
GL,GRL,Air Greenland,GREENLAND,"Greenland
Denmark",
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia,ICAO code no longer allocated
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon,defunct
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey,
GP,RIV,APG Airlines,RIVERA,France,
GP,PTP,Palau Trans Pacific Airlines,TRANS PACIFIC,Palau,
GQ,BSY,Big Sky Airlines,BIG SKY,United States,
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom,
GR,GCO,Gemini Air Cargo,GEMINI,United States,
GS,UPA,Air Foyle,FOYLE,United Kingdom,"defunct, ICAO code no longer allocated"
GS,GCR,Tianjin Airlines,BO HAI,China,
GT,GBL,GB Airways,GEEBEE AIRWAYS,United Kingdom,
GV,ARF,Aero Flight,Aero Fox,Germany,defunct
GV,GUN,Grant Aviation,HOOT,United States,
GW,,Costa Rica Green Airways,,Costa Rica,
GW,KIL,Kuban Airlines,AIR KUBAN,Russia,
GW,SGR,SkyGreece Airlines,SKYGREECE,Greece,defunct
GX,GBC,Guangxi Beibu Gulf Airlines,SPRAY,China,
GX,,Pacificair,,Philippines,
GY,,Guyana Airways 2000,,,
GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia,
GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands,
H1,,Hahn Air Systems,,Germany,
H2,SKU,Sky Airline,AEROSKY,Chile,
H4,,Héli Sécurité Helicopter Airlines,,France,
H4,IIN,Inter Island Airways,,Cape Verde,
H5,HOA,Hola Airlines,HOLA,Spain,
H5,MVL,Mavial Magadan Airlines,Mavial,Russia,
H6,HAG,Hageland Aviation Services,HAGELAND,United States,
H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda,
H8,KHB,Dalavia,DALAVIA,Russia,
H9,HAD,Air d'Ayiti,HAITI AVIA,Haiti,
H9,HIM,Himalaya Airlines,HIMALAYA,Nepal,
H9,IZM,Izair,IZMIR,Turkey,
HA,HAL,Hawaiian Airlines,HAWAIIAN,United States,
HB,HAR,Harbor Airlines,HARBOR,United States,
HC,ATI,Aero-Tropics Air Services,,Australia,defunct
HC,SZN,Air Senegal,AIR SENEGAL,Senegal,
HC,HCC,Holidays Czech Airlines,CZECH HOLIDAYS,Czech Republic,
HC,,Iceland Express,,Iceland,Ceased operations 2012
HD,HLN,Air Holland,ORANGE,Netherlands,defunct
HD,ADO,AIRDO,AIR DO,Japan,
HE,LGW,German Airways,WALTER,Germany,Former name: Luftfahrtgesellschaft Walter
HF,HLF,Hapagfly,HAPAG LLOYD,Germany,TUIfly
HG,NLY,Niki,FLYNIKI,Austria,
HH,,Hope Air,HOPE AIR,Canada,
HJ,AXF,Asian Express Airlines,FREIGHTEXPRESS,Australia,[citation needed]
HJ,HEJ,Hellas Jet,HELLAS JET,Greece,ceased operation in 2010
HK,FSC,Four Star Aviation / Four Star Cargo,FOUR STAR,United States,Virgin Islands
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles,
HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia,
HO,DJA,Antinea Airlines,ANTINEA,Algeria,defunct
HP,AWE,America West Airlines,CACTUS,United States,Merged with US Airways
HP,,Hawaiian Pacific Airlines,,United States,defunct
HP,HPA,Pearl Airways,PEARL AIRWAYS,Haiti,IATA code withdrawn
HP,,Phoenix Airways,,Switzerland,
HQ,HMY,Harmony Airways,HARMONY,Canada,
HQ,TCW,Thomas Cook Airlines,THOMAS COOK,Belgium,Defunct
HR,HHN,Hahn Air,ROOSTER,Germany,
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine,defunct
HU,CHH,Hainan Airlines,HAINAN,China,
HV,TRA,Transavia Holland,TRANSAVIA,Netherlands,
HW,FHE,Hello,FLYHELLO,Switzerland,
HW,NWL,North-Wright Airways,NORTHWRIGHT,Canada,
HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong,
HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan,
HZ,SHU,Sakhalinskie Aviatrassy (SAT),SATAIR,Russia,
HZ,SOZ,Sat Airlines,SATCO,Kazakhstan,
I2,IBS,Iberia Express,IBEREXPRESS,Spain,"Charter service, low cost carrier for EU flights of Iberia operating only A320s"
I4,EXP,Island Air Express,ISLAND EXPRESS,United States,2014[28]
I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands,Defunct
I5,IAD,AirAsia India,ARIYA,India,Founded 28. Mar 2013
I6,SEQ,Sky Eyes,SKY EYES,Thailand,
I7,PMW,Paramount Airways,PARAWAY,India,
I9,IBU,Indigo Airlines,INDIGO BLUE,United States,
IA,IAW,Iraqi Airways,IRAQI,Iraq,
IB,IBE,Iberia Airlines,IBERIA,Spain,
IC,IAC,Indian Airlines,INDAIR,India,
ID,BTK,Batik Air,BATIK,Indonesia,
ID,ITK,Interlink Airlines,INTERLINK,South Africa,
IE,SOL,Solomon Airlines,SOLOMON,Solomon Islands,
IF,ISW,Islas Airways,PINTADERA,Spain,
IG,AEY,Air Italy,AIR ITALY,Italy,merged into Meridiana
IG,ISS,Meridiana,MERIDIANA,Italy,Callsign was MERAIR
IH,,Falcon Aviation,,Sweden,
IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan,Old IATA code: IT; old ICAO code: IRT
II,CSQ,IBC Airways,CHASQUI,United States,
IJ,GWL,Great Wall Airlines,GREAT WALL,China,
IJ,SJO,Spring Airlines Japan,JEY SPRING,Japan,
IK,KAR,Ikar,IKAR,Russian Federation,
IK,LKN,Lankair,Lankair,Sri Lanka,
IM,MNJ,Menajet,MENAJET,Lebanon,
IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia,
IN,NIH,NAM Air,NAM,Indonesia,
IO,IAA,Indonesian Airlines,INDO LINES,Indonesia,
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan,
IP,ONS,One Airlines,AIR DREAMS,Chile,
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany,defunct
IR,IRA,Iran Air,IRANAIR,Iran,Was B9
IT,KFR,Kingfisher Airlines,KINGFISHER,India,
IT,TTW,Tigerair Taiwan,SMART CAT,Taiwan,
IV,JET,Wind Jet,GHIBLI,Italy,
IW,AOM,AOM French Airlines,French Lines,France,defunct
IW,WON,Wings Air,WINGS ABADI,Indonesia,Subsidiary of Lion Air
IX,AXB,Air India Express,EXPRESS INDIA,India,
IY,IYE,Yemenia,YEMENI,Yemen,
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan,
J3,PLR,Northwestern Air,POLARIS,Canada,
J4,BFL,Buffalo Airways,BUFFALO,Canada,
J6,AOC,AVCOM,AERO AVCOM,Russia,
J7,CVC,Centre-Avia,AVIACENTRE,Russia,
J7,DNM,Denim Air,DENIM,Netherlands,Defunct
J7,VJA,ValuJet Airlines,CRITTER,United States,Now operating as AirTran Airways. J7 Reassigned.
J8,BVT,Berjaya Air,BERJAYA,Malaysia,
J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea,defunct
JA,BON,B&H Airlines,Air Bosna,Bosnia and Herzegovina,
JB,JBA,Helijet,HELIJET,Canada,
JD,CBJ,Beijing Capital Airlines,CAPITAL JET,China,
JE,MNO,Mango,TULCA,South Africa,
JF,LAB,L.A.B. Flying Service,LAB,United States,
JH,NES,Nordeste Linhas Aéreas Regionais,NORDESTE,Brazil,
JI,MDW,Midway Airlines (1993–2003),MIDWAY,United States,defunct
JJ,AGX,Aviogenex,GENEX,Serbia,defunct
JJ,TAM,LATAM Brasil,TAM,Brazil,
JK,JKK,Spanair,SPANAIR,Spain,defunct
JM,AJM,Air Jamaica,JAMAICA,Jamaica,merged into Caribbean Airlines; ICAO and IATA codes no longer used.
JN,XLA,Excel Airways,EXPO,United Kingdom,
JP,ADR,Adria Airways,ADRIA,Slovenia,defunct as of September 2019
JR,SER,Aero California,AEROCALIFORNIA,Mexico,
JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea,
JT,LNI,Lion Air,LION INTER,Indonesia,
JU,ASL,Air Serbia,AIR SERBIA,Serbia,Name changed from Aeroput to JAT Yugoslav Airlines to Jat Airways to Air Serbia. Formerly used JAT as ICAO code.
JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada,
JW,APW,Arrow Air,BIG A,United States,defunct
JW,VNL,Vanilla Air,VANILLA,Japan,
JX,SJX,Starlux Airlines,STARWALKER,Taiwan,
JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands,Name changed from Interisland Airways Limited and Air Turks & Caicos
JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands,ICAO code no longer allocated
JZ,SKX,Avia Express,SKY EXPRESS,Sweden,Former names: AMA-Flyg I Goteborg; Salair; former ICAO code: AAX
JZ,SKX,Skyways Express,SKY EXPRESS,Sweden,Ceased operations 2012; Operations continue as Avia Express
K2,ELO,Eurolot,EUROLOT,Poland,
K3,TQN,Taquan Air Services,TAQUAN,United States,
K4,CKS,Kalitta Air,CONNIE,United States,Operates 747-200s & -400s
K5,SQH,SeaPort Airlines,SASQUATCH,United States,Former airline: Wings of Alaska now part of SeaPort Airlines. Alternative callsign: WINGS (for VFR flights only). Former ICAO code: WAK.
K6,KHV,Angkor Air,AIR ANGKOR,Cambodia,
K6,KHV,Cambodia Angkor Air,ANGKOR AIR,Cambodia,
K6,KZW,Khalifa Airways,KHALIFA AIR,Algeria,
K8,ZAK,Airlink Zambia,,Zambia,Zambia Skyways Limited
K9,KFS,Kalitta Charters,KALITTA,United States,"Operates Lear 20s & 30s, Falcon 20s, & King Airs"
K9,KRI,Krylo Airlines,Krylo,Russia,
KA,HDA,Cathay Dragon,DRAGON,Hong Kong,
KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan,
KC,KZR,Air Astana,ASTANALINE,Kazakhstan,
KC,KZR,Air Astana,SPAKAZ,Kazakhstan,
KD,AEN,Air Enterprise,AIR ENTERPRISE,France,defunct
KD,KLS,Kalstar Aviation,KALSTAR,Indonesia,
KD,KNI,KD Avia,KALININGRAD AIR,Russia,
KE,KAL,Korean Air,KOREANAIR,South Korea,
KF,BLF,Blue1,BLUEFIN,Finland,
KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela,
KH,AAH,Aloha Air Cargo,ALOHA,United States,
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom,"Former name: Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014."
KI,DHI,Adam Air,ADAM SKY,Indonesia,defunct
KJ,AAZ,Asian Air,,Kyrgyzstan,
KJ,LAJ,British Mediterranean Airways,BEE MED,United Kingdom,
KK,KKK,Atlasjet,ATLASJET,Turkey,
KL,KLM,KLM,KLM,Netherlands,
KM,AMC,Air Malta,AIR MALTA,Malta,
KN,CUA,China United Airlines,LIANHANG,China,
KO,AER,Alaska Central Express,ACE AIR,United States,
KP,KIA,Kiwi International Air Lines,KIWI AIR,United States,
KQ,KQA,Kenya Airways,KENYA,Kenya,
KR,KME,Cambodia Airways,GIANT IBIS,Cambodia,
KR,CWK,Comores Airlines,CONTICOM,Comoros,
KS,PEN,Peninsula Airways,PENINSULA,United States,
KU,KAC,Kuwait Airways,KUWAITI,Kuwait,
KV,MVD,Kavminvodyavia,AIR MINVODY,Russia,
KV,SKV,Sky Regional Airlines,MAPLE,Canada,
KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine,
KW,WAN,Wataniya Airways,WATANIYA,Kuwait,
KX,CAY,Cayman Airways,CAYMAN,Cayman Islands,
KY,EQL,Air São Tomé and Príncipe,EQUATORIAL,São Tomé and Príncipe,defunct
KZ,NCA,Nippon Cargo Airlines,NIPPON CARGO,Japan,
L1,,Lufthansa Systems,,Germany,
L2,LYC,Lynden Air Cargo,LYNDEN,United States,
L3,JOS,DHL de Guatemala,,Guatemala,
L3,LTO,LTU Austria,BILLA TRANSPORT,Austria,
L4,SSX,Lynx Aviation,SHASTA,United States,Part of Frontier Airlines
L5,,Línea Aérea Cuencana,,Ecuador,
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway,
L6,VNZ,Tbilaviamsheni,TBILAVIA,Georgia,
L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines,
L7,LNP,Línea Aérea SAPSA,SAPSA,Chile,
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau,
L9,MLI,Air Mali,AIR MALI,Mali,defunct
L9,BAL,Belle Air Europe,BELLEAIR EUROPE,Italy,Previously Britannia Airways
L9,BTZ,Bristow U.S. LLC,BRISTOW,United States,
L9,TLW,Teamline Air,Teamline,Austria,
LA,LAN,LATAM Chile,LAN CHILE,Chile,
LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia,
LC,VLO,Varig Logística,VELOG,Brazil,
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong,
LE,NSW,Norwegian Air Sweden,NORDIC,Sweden,subsidiary of Norwegian Air Shuttle
LF,VTE,Contour Airlines,VOLUNTEER,United States,
LF,NDC,FlyNordic,NORDIC,Sweden,defunct
LG,LGL,Luxair,LUXAIR,Luxembourg,
LH,DLH,Lufthansa,LUFTHANSA,Germany,
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany,
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda,
LJ,JNA,Jin Air,JIN AIR,South Korea,
LJ,SLA,Sierra National Airlines,SELAIR,Sierra Leone,
LK,LXR,Air Luxor,AIRLUXOR,Portugal,ICAO code no longer allocated
LL,GRO,Allegro,ALLEGRO,Mexico,defunct (IATA code reallocated)
LL,BSK,Miami Air International,BISCAYNE,United States,"Previous IATA Code ""GL"""
LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy,Ceased operations 2010
LM,LOG,Loganair,LOGAN,United Kingdom,Gained the code LM after beginning independent operations (2017)
LN,LAA,Libyan Arab Airlines,LIBAIR,Libya,
LO,LOT,LOT Polish Airlines,POLLOT,Poland,
LP,LPE,LATAM Peru,LANPERU,Peru,
LQ,LAQ,Lebanese Air Transport,LAT,Lebanon,
LR,LRC,LACSA,LACSA,Costa Rica,
LS,EXS,Jet2,Channex,United Kingdom,Started in 1983
LT,LTU,LTU International,LTU,Germany,
LT,SNG,LongJiang Airlines,SNOW EAGLE,China,
LU,LXP,LATAM Express,LANEX,Chile,
LV,LBC,Albanian Airlines,ALBANIAN,Albania,
LV,LVL,Level,LEVEL,Spain and France,
LW,NMI,Pacific Wings,TSUNAMI,United States,
LW,FDY,Sun Air International,FRIENDLY,United States,
LX,SWR,Swiss International Air Lines,SWISS,Switzerland,
LY,ELY,El Al Israel Airlines,ELAL,Israel,
LZ,,Balkan Bulgarian Airlines,,Bulgaria,defunct
LZ[47],SWU,Swiss Global Air Lines,EUROSWISS,Switzerland,
M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia,
M2,MHV,MHS Aviation GmbH,SNOWCAP,Germany,
M3,TUS,ABSA Cargo,Turismo,Brazil,
M3,SPJ,Air Service,AIR SKOPJE,Macedonia,
M3,NFA,North Flying,NORTH FLYING,Denmark,
M4,MSA,Mistral Air,AIRMERCI,Italy,renamed Poste Air Cargo
M4,MSA,Poste Air Cargo,AIRMERCI,Italy,
M5,KEN,Kenmore Air,KENMORE,United States,
M6,AJT,Amerijet International,AMERIJET,United States,
M7,MAA,MasAir,MAS CARGA,Mexico,
M7,MSL,Marsland Aviation,MARSLANDAIR,Sudan,
M7,TBG,Tropical Airways,,Haiti,
M8,MKN,Mekong Airlines,MEKONG AIRLINES,Cambodia,Defunct
M9,MSI,Motor Sich,MOTOR SICH,Ukraine,
MA,MAH,Malév Hungarian Airlines,MALEV,Hungary,defunct
MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada,
MB,MNB,MNG Airlines,BLACK SEA,Turkey,
MC,RCH,Air Mobility Command,REACH,United States,United States Air Force
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar,
ME,MEA,Middle East Airlines,CEDAR JET,Lebanon,
MF,CXA,Xiamen Airlines,XIAMEN AIR,China,
MG,CCP,Champion Air,CHAMPION AIR,United States,
MH,MWG,MASwings,MASWINGS,Malaysia,
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia,
MI,SLK,SilkAir,SILKAIR,Singapore,
MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina,defunct
MJ,MLR,Mihin Lanka,MIHIN LANKA,Sri Lanka,
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius,
ML,BIE,Air Mediterranee,MEDITERRANEE,France,defunct
ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan,
ML,MDW,Midway Airlines (1976–1991),MIDWAY,United States,defunct
MM,MMZ,EuroAtlantic Airways,EUROATLANTIC,Portugal,
MM,SAM,SAM Colombia,SAM,Colombia,Sociedad Aeronáutica De Medellín
MN,CAW,Comair,COMMERCIAL,South Africa,
MO,AUH,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates,Presidential flight
MO,CAV,Calm Air,CALM AIR,Canada,
MP,MPH,Martinair,MARTINAIR,Netherlands,
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States,"Renamed Envoy Air, ICAO Code and Callsign withdrawn in 2014"
MQ,ENY,Envoy Air,ENVOY,United States,2014[17]
MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania,
MR,MML,Hunnu Air,TRANS MONGOLIA,Mongolia,
MS,MSR,Egyptair,EGYPTAIR,Egypt,
MT,TCX,Thomas Cook Airlines,THOMAS COOK,United Kingdom,"Formerly ""KESTREL”"
MU,CES,China Eastern Airlines,CHINA EASTERN,China,
MV,RML,Air Mediterranean,HELLASMED,Greece,
MW,MYD,Maya Island Air,MYLAND,Belize,
MW,MUL,Mokulele Airlines,MUKULELE,United States,Callsign and code changed from BUG/SPEEDBUGGY in 2013
MX,MXA,Mexicana de Aviación,MEXICANA,Mexico,
MY,MXJ,Maxjet Airways,MAX-JET,United States,Defunct
MY,MWA,Midwest Airlines (Egypt),,Egypt,
MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia,
N2,DAG,Dagestan Airlines,DAGAL,Russia,
N2,QNK,Kabo Air,KABO,Nigeria,
N4,MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone,
N4,NCN,National Airlines,,Chile,
N4,NWS,Nordwind Airlines,NORDLAND,Russia,
N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan,
N5,FEY,Fly Easy,FLYEASY,India,
N5,,Norfolk Air,,Norfolk Island,Defunct
N5,SGY,Skagway Air Service,SKAGWAY AIR,United States,
N6,JEV,Lagun Air,,Spain,
N6,ACQ,Nuevo Continente,AERO CONTINENTE,Peru,Operating license revoked by Chile 10/06/2002; Ceased operations 2005; Former name: Aero Continente
N7,ROK,National Airlines,RED ROCK,United States,defunct
N8,HGK,Fika Salaama Airlines,SALAAMA,Uganda,
N8,NCR,National Air Cargo dba National Airlines,NATIONAL CARGO,United States,
N9,,North Coast Aviation,,Papua New Guinea,
N9,SHA,Shree Airlines,SHREEAIR,Nepal,
NA,NAL,National Airlines,NATIONAL,United States,defunct
NA,NAO,North American Airlines,NORTH AMERICAN,United States,
NB,SNB,Sterling Airlines,STERLING,Denmark,
NC,NJS,National Jet Systems,NATIONAL JET,Australia,
NC,NAC,Northern Air Cargo,YUKON,United States,
NE,ESK,SkyEurope,RELAX,Slovakia,defunct
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu,
NG,LDA,Lauda Air,LAUDA AIR,Austria,
NH,ANA,All Nippon Airways,ALL NIPPON,Japan,
NI,,LANICA,,Nicaragua,
NI,PGA,Portugalia,PORTUGALIA,Portugal,
NK,NKS,Spirit Airlines,SPIRIT WINGS,United States,
NK,NKS,Spirit Airlines,SPIRIT WINGS,United States,
NL,SAI,Shaheen Air,SHAHEEN AIR,Pakistan,
NM,DRD,Air Madrid,ALADA AIR,Spain,defunct
NM,NZM,Mount Cook Airline,MOUNTCOOK,New Zealand,
NN,MOV,VIM Airlines,MOV AIR,Russia,
NO,AUS,Aus-Air,,Australia,defunct
NO,NOS,Neos,MOONFLOWER,Italy,
NQ,AJX,Air Japan,AIR JAPAN,Japan,
NR,PIR,Pamir Airways,PAMIR,Afghanistan,
NT,IBB,Binter Canarias,BINTER,Spain,
NV,CRF,Air Central,AIR CENTRAL,Japan,Ceased operations 2010
NW,NWA,Northwest Airlines,NORTHWEST,United States,"defunct
merged with Delta Air Lines"
NX,AMU,Air Macau,AIR MACAO,Macao,
NY,FXI,Air Iceland,FAXI,Iceland,
NZ,EAG,Eagle Airways,EAGLE,New Zealand,
NZTE,ANZ,Air New Zealand,NEW ZEALAND,New Zealand,"""NZ"" used by New Zealand National Airways Corporation until its merger with Air New Zealand in 1978""TE"" used by TEAL from 1940-1965, then Air New Zealand from 1965-1990"
O2,,Linear Air,HARPOON,United States,Allocated in 2017
O3,CSS,SF Airlines,SHUN FENG,China,
O4,ABV,Antrak Air,ANTRAK,Ghana,
O6,ONE,Avianca Brazil,OCEAN AIR,Brazil,Owned by Synergy Group
O6,ONE,Avianca Brazil,OCEANAIR,Brazil,formerly Oceanair
O7,OZJ,Ozjet Airlines,AUSJET,Australia,
O8,OHK,Oasis Hong Kong Airlines,OASIS,Hong Kong,Defunct
O9,NOV,Nova Airline,NOVANILE,Sudan,
OA,OAL,Olympic Air,OLYMPIC,Greece,
OA,OAL,Olympic Airlines,OLYMPIC,Greece,Defunct
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia,defunct
OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria,"defunct; former IATA code: U8, OG; former ICAO code: AUC"
OB,BOV,Boliviana de Aviación,BOLIVIANA,Bolivia,
OB,AAN,Oasis International Airlines Now assigned to Boliviana de Aviacion (BoA),OASIS,Spain,Ceased operations
OD,MXD,Malindo Airways,MALINDO EXPRESS,Malaysia,
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines,
OE[29],LDM,LaudaMotion,LAUDA MOTION,Austria,
OE,LDM,Laudamotion,LAUDA MOTION,Austria,
OF,FIF,Air Finland,AIR FINLAND,Finland,
OF,ENT,Enter Air,ENTER,Poland,
OF,TML,Transports et Travaux Aériens de Madagascar,TAM AIRLINE,Madagascar,
